Id,Name,Type,StartDate,EndDate,NotificationsEnabled,CourseId
1,Final Exam,Performance,1/1/1900,1/1/1900,TRUE,1
2,Midterm Essay,Performance,1/1/1900,1/1/1900,TRUE,2
3,Final Exam,Objective,1/1/1900,1/1/1900,TRUE,3
4,Problem Set,Performance,1/1/1900,1/1/1900,TRUE,4
5,Weekly Quizzes,Performance,1/1/1900,1/1/1900,TRUE,5
6,Research Summary,Performance,1/1/1900,1/1/1900,TRUE,6
7,Field Report,Performance,1/1/1900,1/1/1900,TRUE,7
8,Persuasive Speech,Performance,1/1/1900,1/1/1900,TRUE,8
9,Constitution Quiz,Objective,1/1/1900,1/1/1900,TRUE,9
10,Midterm Essay,Performance,1/1/1900,1/1/1900,TRUE,10
11,Documentary Review,Performance,1/1/1900,1/1/1900,TRUE,11
12,Field Observation Report,Performance,1/1/1900,1/1/1900,TRUE,12
13,Lab Report,Performance,1/1/1900,1/1/1900,TRUE,13
14,Group Presentation,Performance,1/1/1900,1/1/1900,TRUE,14
15,Lab Practical,Performance,1/1/1900,1/1/1900,TRUE,15
16,Sketch Portfolio,Performance,1/1/1900,1/1/1900,TRUE,16
17,Concert Review,Performance,1/1/1900,1/1/1900,TRUE,17
18,Socratic Dialogue,Performance,1/1/1900,1/1/1900,TRUE,18
19,Case Study,Performance,1/1/1900,1/1/1900,TRUE,19
20,Book Analysis,Performance,1/1/1900,1/1/1900,TRUE,20
21,Literary Analysis,Performance,1/1/1900,1/1/1900,TRUE,21
22,Data Project,Performance,1/1/1900,1/1/1900,TRUE,22
23,Lab Activity,Performance,1/1/1900,1/1/1900,TRUE,23
24,Wellness Plan,Performance,1/1/1900,1/1/1900,TRUE,24
25,Field Notes Assignment,Performance,1/1/1900,1/1/1900,TRUE,25
26,Map Analysis,Performance,1/1/1900,1/1/1900,TRUE,26
27,Technology Skills Assessment,Performance,1/1/1900,1/1/1900,TRUE,27
28,Star Chart Project,Performance,1/1/1900,1/1/1900,TRUE,28
29,Developmental Timeline,Performance,1/1/1900,1/1/1900,TRUE,29
30,Logic Puzzle Set,Performance,1/1/1900,1/1/1900,TRUE,30
31,Writing Portfolio,Performance,1/1/1900,1/1/1900,TRUE,31
